product_id,category_id
15139,7
15171,7
15178,7
15200,7
15450,9
15456,9
15457,9
15462,9
15468,9
15475,9
15528,8
15531,8
15532,8
15533,8
15534,8
15535,8
16645,7
16646,7
16648,7
16649,7
16650,7
16660,7
16679,7
16680,7
16681,7
16689,7
16718,7
16722,7
16725,7
16728,7
16729,7
16731,7
16734,7
16809,7
16901,10
16906,10
16911,10
16912,10
16971,10
17010,10
17805,7
18005,1
18053,7
18064,7
18100,7
18131,1
18154,1
18185,1
18218,1
18219,1
18239,1
18279,1
18301,2
18305,1
18309,1
18323,1
18330,1
18334,1
18355,1
18359,1
18364,1
18374,2
18380,1
18435,1
18437,1
18446,1
18468,1
18484,7
18490,1
18518,1
18528,7
18570,1
18598,1
18611,1
18616,1
19594,5
19596,5
19597,5
19598,5
19599,5
19600,5
19607,5
19611,5
19612,5
19676,5
19683,5
19684,5
19686,5
19687,5
19688,5
19689,5
19690,5
19708,5
19715,5
19720,5
19856,5
19865,5
19869,5
20014,5
21089,3
29439,1
29449,1
29519,7
29663,5
29710,8
29970,3
30022,10
30023,10
30082,8
30103,8
30105,8
30201,8
30202,8
30337,9
30338,9
30574,5
30619,7
30620,7
30621,7
30710,7
30711,7
30785,7
30786,7
31679,7
31966,8
31972,8
31973,8
31975,8
31976,8
32065,8
32241,7
33276,7
33277,7
33289,7
33303,7
37946,1
37953,1
37982,1
37985,1
37993,1
38018,1
38124,1
38174,1
38176,1
38178,1
38212,1
38236,1
38239,1
38636,2
38740,2
39150,1
39280,5
39429,3
39764,1
39884,7
39888,5
39895,1
39895,11
40189,1
40258,5
40383,1
40487,7
40998,1
41068,2
41169,1
41286,1
41388,1
41398,7
41650,1
41685,5
41688,1
41800,1
41870,1
42569,7
43087,10
43088,10
43089,10
43090,8
43090,10
43097,8
43098,10
43107,10
43134,10
43334,8
43335,8
43336,8
43343,8
43344,8
43347,8
43349,8
43361,8
43372,8
43671,9
43690,9
43691,9
43711,9
43714,9
43763,7
44189,7
44266,7
44267,7
47180,3
47181,3
48548,4
48746,7
48992,7
48996,7
48997,7
48998,7
48999,7
49000,7
49005,7
49082,7
49086,7
49130,7
49870,7
50176,5
50807,1
50818,1
50956,1
50997,1
51022,1
51061,1
51122,4
51128,1
51128,7
51138,1
51193,7
51572,1
51575,1
51605,1
51607,1
51609,1
51616,1
51654,1
52481,5
53365,5
53366,5
54194,7
54196,7
54201,7
54334,9
54345,9
54392,7
54433,7
54434,7
54732,3
54927,3
55159,2
55348,7
55377,3
55412,7
55744,3
55882,3
55915,3
56248,3
56398,1
56406,3
56538,3
56819,7
56971,1
